Year,Month,UnempRate,UnempNetChange,UnempGrowth,AdjParty,AdjPresidents,Party,Presidents,NPEmployment,NPENetChange,EmpGrowth,GDP,GDPGrowth,ConsSentiment,Productivity,Inflation,FedFundIntRate,M2,Spending,TotalTaxRev,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,1,3.4, ,-0.128205128,Democrat,Truman,Democrat,Truman,44682,-103,0.231050495,266.2,9.3, , ,10.2, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,2,3.8,0.4,0.117647059,Democrat,Truman,Democrat,Truman,44537,-145,-0.324515465,266.2,9.3, , ,9.3, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,3,4,0.2,0.052631579,Democrat,Truman,Democrat,Truman,44681,144,0.323326672,266.2,9.3, ,1.6,6.8, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,4,3.9,-0.1,-0.025,Democrat,Truman,Democrat,Truman,44370,-311,-0.696045299,272.9,10.5, , ,8.7, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,5,3.5,-0.4,-0.102564103,Democrat,Truman,Democrat,Truman,44795,425,0.957854406,272.9,10.5, , ,9.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,6,3.6,0.1,0.028571429,Democrat,Truman,Democrat,Truman,45033,238,0.531309298,272.9,10.5, ,-1,9.5, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,7,3.6,0,0,Democrat,Truman,Democrat,Truman,45160,127,0.282015411,279.5,10, , ,9.9, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,8,3.9,0.3,0.083333333,Democrat,Truman,Democrat,Truman,45176,16,0.035429584,279.5,10, , ,8.9, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,9,3.8,-0.1,-0.025641026,Democrat,Truman,Democrat,Truman,45295,119,0.263414202,279.5,10, ,0.5,6.5, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,10,3.7,-0.1,-0.026315789,Democrat,Truman,Democrat,Truman,45251,-44,-0.097140965,280.7,1.7, , ,6.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,11,3.8,0.1,0.027027027,Democrat,Truman,Democrat,Truman,45194,-57,-0.125964067,280.7,1.7, , ,4.8, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,12,4,0.2,0.052631579,Democrat,Truman,Democrat,Truman,45029,-165,-0.365092711,280.7,1.7, ,1.6,3, , ,55.08,41560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,1,4.3,0.3,0.075,Democrat,Truman,Democrat,Truman,44671,-358,-0.795043194,275.4,-7.3, , ,1.3, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,2,4.7,0.4,0.093023256,Democrat,Truman,Democrat,Truman,44500,-171,-0.382798684,275.4,-7.3, , ,1.3, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,3,5,0.3,0.063829787,Democrat,Truman,Democrat,Truman,44238,-262,-0.588764045,275.4,-7.3, ,4,1.7, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,4,5.3,0.3,0.06,Democrat,Truman,Democrat,Truman,44230,-8,-0.018084,271.7,-5.2, , ,0.4, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,5,6.1,0.8,0.150943396,Democrat,Truman,Democrat,Truman,43982,-248,-0.560705404,271.7,-5.2, , ,-0.4, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,6,6.2,0.1,0.016393443,Democrat,Truman,Democrat,Truman,43739,-243,-0.552498749,271.7,-5.2, ,4.3,-0.8, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,7,6.7,0.5,0.080645161,Democrat,Truman,Democrat,Truman,43529,-210,-0.480120716,273.3,2.3, , ,-2.9, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,8,6.8,0.1,0.014925373,Democrat,Truman,Democrat,Truman,43622,93,0.21365067,273.3,2.3, , ,-2.9, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,9,6.6,-0.2,-0.029411765,Democrat,Truman,Democrat,Truman,43784,162,0.371372243,273.3,2.3, ,10,-2.4, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,10,7.9,1.3,0.196969697,Democrat,Truman,Democrat,Truman,42950,-834,-1.904805408,271,-3.3, , ,-2.9, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,11,6.4,-1.5,-0.189873418,Democrat,Truman,Democrat,Truman,43245,295,0.686845169,271,-3.3, , ,-1.7, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,12,6.6,0.2,0.03125,Democrat,Truman,Democrat,Truman,43517,272,0.628974448,271,-3.3, ,-2.1,-2.1, , ,62.71,39415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1,6.5,-0.1,-0.015151515,Democrat,Truman,Democrat,Truman,43528,11,0.025277478,281.2,16, , ,-2.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,2,6.4,-0.1,-0.015384615,Democrat,Truman,Democrat,Truman,43298,-230,-0.528395516,281.2,16, , ,-1.3, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,3,6.3,-0.1,-0.015625,Democrat,Truman,Democrat,Truman,43952,654,1.510462377,281.2,16, ,14.6,-0.8, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,4,5.8,-0.5,-0.079365079,Democrat,Truman,Democrat,Truman,44376,424,0.964688751,290.7,14.3, , ,-1.3, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
